text,label
: أين نحن من قضية هذا الشاب المغربي و ما فعلت به السلطة الإسبانية ..واش مايستحقش منك واخا غا نستنكر و نشجب ووووو,not racism
: معرفت علاش حسيت براسي بقا فيا الحال و الله ، أو باش الإعلام الإسباني و العربي يهضر على القضية ، و يوصل ترند رقم 1 فالمغ…,not racism
: قضية إغتصاب الطفلة إكرام قضية مفروشة بالدارجة المعبرة فحتی قراءة التهمة وحال المتابعة غير متناسقين..اغتصاب طفلة والمتهم في…,not racism
: الدولة بي لايك: نتا من منطقة تخفيف 2؟ مامنحقكش تخرج للقهوة.. صحاب منطقة تخفيف 1 سيرو ولكن غاتلقاوها سادة..,not racism
انبقاو تالاخر و يخرج علينا رئيس الجزائر 😭,not racism
هذا فكرني فدوك البرامج ديال اكتشاف المواهب 😂😂😂😂😂😂,not racism
قررت أنه بعد الحجر الصحي سأعمل على تبييض الأموال، ومن أجل ذلك سأشتري عشر دجاجات كخطوة أولى و ذلك بعد ان أكدت لي مصادر متطابقة ان الدجاج ضليع و رائد في فن التبييض. قلة_مايدار,not racism
على إثر ظهور بعض النفاخات بالحساب الشخصي لعقيد دولة كتبانستان .... نتقدم ببرقية تهنئة لعقيدنا المحترم بمناسبة عيد ميلاده سائلين المولى عز و جل ان ينعم عليه بالصحة والعافية 🌹🎉 🎊 🎉 🎊 🎉 🎊 🌹,not racism
"🤣🤣🤣🤣 هادي نظرية جديدة ""نظرية سلاوية الأرض""",Racism
: بما ان بزاف ديال الناس طلبات مني نقول الرأي ديالي فالتطبيق ديال wiqayatona فهنا غادي نتطرق لداكشي لي خرجت بيه نبداو م…,not racism
: فاش تسالي هاد كورونا غادي نبقى نمشي نطل على الجامع واش عامر، باش نعرف واش هادا كلو إيمان فيكم ولا غي طالقينها علينا 😁😁,not racism
بان ليا البلان فهاد الرواية 🙄 نشوفو أش كيعاود فيها ياسين عدنان 🤷‍♂️,not racism
: كادير مع الواحد لمزيان و كايحسبو هو كريدي كايتسناك غا فوقاش تردو ليه,not racism
: واحد البلان مافهمتوش وجدة كايسميوها مدينة المساجد ولكن كولشي كايربب صغير وكبير,not racism
: گاليك عندو دار وطونوبيل و compte bancaire عامر ولاكن نسى انه معندوش شخصية..,not racism
: عيقتو و الله ما تفرقو لا بين رمضان لا تا لعبة 😷الهضرة الخاسرة ديما !!!! وايلي ديرو الحساب غا ان ناس صايمين كيطلع لهم هاد ا…,not racism
"أكدت شركة الخطوط الجوية الباكستانية (pia) أن طائرة ركاب تابعة لها كان على متنها 107 أشخاص تحطمت اليوم أثناء محاولة الهبوط في مطار كراتشي. الطائرة من طراز ""إيرباص إيه 320"" وكان على متنها 99 راكبا والطاقم المؤلف من 8أشخاص وكانت متوجهة إلى كراتشي. وتحطمت الطائرة على منازل سكنية.",not racism
كلشي على cheb 😅,not racism
: فهاد ليلة القدر : بغيت الله يسهل على كلشي . لي مخدامش يخدم . لي معكسة ليه شي حاجة تحل . لي باغي شي حاجة فخاطرو الله يعطي…,not racism
عطا الله ليزابليكاسيون لي دار انفولوو نردوها ليه فالبلاصة,not racism
: فراسكم تويتر الأصل مكانوش فيه التصاور؟ هدشي باش نقوليكم بلي التصاور ديالكم الشخصية زوينين و كنبغيو نشوفوكم مرة مرة ولكن متع…,not racism
ميساج لأي واحد دار لي فولوو و رديتها ليه ومن بعد حيدها را تا أنا كنحييد الفولوو لهاد النوع بكل فرح و سرور 🤷‍♂️,not racism
زوز لاح فيديو جديد االأصدقاء 😂😂 مسخوط طلع خبير فالعجين zoz_vlogs,not racism
يالاه ورينا 🙄 باش نبرعوك باللايكس عاوتاني 😂😂,not racism
ماعقلتش اينا بلاصة كايكولو هادي ، واقيلا الشمال 😂😂😂,not racism
: دروس ما بعد كورونا: يجب على الدولة أن تعطي قيمة لأبنائها وبناتها من المثابرين والنزهاء والعمل على إرجاع من هاجر منهم إلى…,not racism
: تواريخ إجراء المباراة الوطنية المشتركة (cnaem) والمباراة الوطنية المشتركة (cnc) الخاصة بطلبة الأقسام التحضيرية للمدارس ال…,not racism
: غرد_كأنك_مؤثر كاتكتب تغريدة مزيانة كاتجيب ليك 5 د اللايكات و رتويت . كيجي واحد يكتب نفس التغريدة أو كفس منها كاتجيب ليه…,not racism
قالو_ناس_زمان هادا زمان العجايب ما بقيتي تعرف شكون المزيان و شكون الخايب ما بقات نية مابقات بركة و كثرو المصايب,not racism
ايوا ضيعتي رزقك لي جاك تال بين يديك 😭😭,not racism
نمشيو نعسو واحد شوية بينما توصل 3:00,not racism
: كورونا تعبت من الركض وراء الضحايا في المعامل و المصانع و الثكنات...فأخذت حماما ساخنا بمراكش و أغرقت المستشفى بمصابات....18…,not racism
: لا كنتي مشهور را خاصك تكون تا تقيل باش تبيع و تشري.,not racism
": علِّموا_أولادكم بالأحرى ""ربو أولادكم لزمان غير زمانكم""",not racism
علِّموا_أولادكم علموا أولادكم أن يكرهوا الخطيئة لا المخطئ، و أن يدعوا له بالهداية لا بالهلاك.,not racism
: علِّموا_أولادكم : أن المشي بجانب الحائط ذل وجبن وليس أمان ،وأن من علمني حرفا صرت له محبا وليس عبداً، نحن أحرار بعقول…,not racism
: القرار الوحيد الذي إلتزم بيه الشعب المغربي هو عدم الذهاب إلى المساجد أما معظم الأماكن فهي مزدحمة 😔,not racism
شفت كلشي داوي على الإنتاجات ديالنا التلفزية لي كاتحمر الوجه 🙄🙄🤦‍♂️,not racism
: كاينين 2 الأنواع ديال الناس الأغنياء فالعالم: 1- هادوك لي كيشريو الحاجة بسبب الثمن الغالي ديالها 2- هادوك لي كيشريو الح…,not racism
ولد العبد متحركش مرمقها معاه و كمل صلاتو عادي بحال إلا ماوقع والو 😂😂😂😂😂😂😂😂,not racism
: انتِ شحال طالبة فالصداق ؟ دير rt باش توصل للسلطات المعنية 😂,not racism
": غالبا لي كايگول ""واقيلا بوحدي لي مكنديرش الحاجة فلانية "" كيكون باغي يحس شوية بلي محقق انجاز و خارج من السرب و كيستنى لي ي…",not racism
: بنادم داخل ل تويتر بحال لا داخل للسويقة، كا يبقى يسكرولي حتى كا تبان ليه الجوقة و يدخل يخشي ريتويت ديالو حتى هو، واخا يدوز حد…,not racism
كايمرضوني هاد التصرفات كايسحاب ليهم راسهم إلا عطاوك قالب د السكر را دارو مزية 😕😕,not racism
: 🇲🇦 أكيد شافتو الفيديو ديال واحد الطفل من المحمدية خرج لغنم يسرحهم غفلة دخلو لبلاد واحد الفرنسي ركب سيارتو وبدا تيدهس الغنم…,not racism
: البنت اللي تعرف تشبك بحال هاد خانا تهز يديها 😂,not racism
: فيديو_بوزنيقة النيابة العامة تأمر بوضع الفرنسي الذي دهس أغنام الراعي رهن الحراسة النظرية.,not racism
: اليوم الصهد بزاف عفاكم خرجو طويسه ديال الما من الشرجم ولا سطح شوفو كفاش عطشانين🥺♥️,not racism
نتوما اتكون عندكم 16:00 دبا,not racism
فيروس كورونا - فرنسا: تمديد حالة الطوارئ الصحية حتى 24 يوليوز 😕😕😕,not racism
: كانفكر نكتب كتاب صغير على حياتي كيفاش بديت من الصفر و كيفاش وليت تحت الصفر,not racism
: و قالك ممنوع تهضر.. يسقط_قانون_2220 مساكتينش,not racism
: الأصدقاء باش تعرفوا الوقت داخت درنا هاد المعقودة نقلا عن الرفيق zoz 😂😂😂😂,not racism
: إعداد القهوة ليس مجرد إذابة البن بالماء، القهوة لغة صوت غليانها موسيقى، ورائحتها غزل,not racism
: عطلة فاتح ماي وسط العطلة الربيعية وسط عطلة الحجر الصحي...inception ديال العطل..🙄😅,not racism
: ماكانجاوبش على ليزاپيل ديال مور 28 فالشهر، عايق ببنادم لي كاتشيط ليه ديك ربع ساعة فلابونمو.. وباغي يسد بيا الشهر,not racism
