text,label;
ıııııııııı ıııııııı ıııııııııı ıııııııııııı ıııııııııı ıııııı ıııııııı ıııııı ıııııııııı,Verbal abuse;
ıııııı ıııııııı ıııııııııı ıııııııı ıııııııııııııııııı ıııııııı ıııııııııııı ıııııı ıııııı,Racism;
ıııııııııı ıııııı ıııııııı ıııııı ıııııııı ıııııııı ıııııııııııı,Racism;
ıııııı ıııııııııı ıııııı ıııııııııı ıııııııııı ıııııııııı ıııııııııııı ıııııııııııııııı ıııııııı ıııııııııı ıııııııı ıııııııııı ıııııııı,Verbal abuse;
ıııııııııııııııııııııı ıııııııııııııııııııı ıııııııııııııııııı ıııııııı ıııııııı ıııııııııı ıııııııııııı ıııııı ıııııııııııı ıııııııııııı ıııııııı ıııııııııııııı ıııııı,Racism;
ıııııııı ıııııııı ıııııııııııı ıııııı ıııııııı ıııııııııı ıııııı ıııııııı ıııııııııı ıııı ıııııııı ıııııı ıııııııı ıııııııııı ıııııııııı ıııı ıııııı ıııııııı,Verbal abuse;
ıııııııııı ıııııııııı ıııııııııııı ıııııııı ıııııııııı ıııııııı ıııııııııı ıııııııııııı ıııııııııı ıııııııı ıııııııııııı,Verbal abuse;
ıııııııııııı ıııııı ıııııııı ıııııııı ıııııııııııııı ıııııııı ıııı ıııııııııı ıııııııııııııı ıııııııı ıııııı ıııııııııı ıııııııııı ıııııı ıııııııııııııııııııııı,not offensive;
ıııııı ıııııı,Verbal abuse;
ıııııııı ıııı ıııııııııı ıııııııı ıııııııııı ıııııııııııııı ıııııııııı ıııı ıııııııııı ıııııııııı ıııııııııı ıııııııı ıııııııı ıııııııııı,Misogyny;
ıııııı ıııııı ıııııııı ıııııııı ıııııııı ıııııııııı ıııııııııı ıııııııı ıııııııııı ıııııııııı ıııııııııııııııı ıııııı ıııııııı ıııııııı ıııııı ıııııııı ıııııııı,Verbal abuse;
ıııııı ıııııı ıııııııııııı,Verbal abuse;
