id,text,Majority_Label,label
1,البطل قاتل وجاذف بحياته لتحيا انت واطي عيب الشوم,1.0,Verbal abuse
2,انو غريب يوجعك راسك القواتجيه عاده بيكونو بلا راس,1.0,Racism
3,طاءفي روح اسال اهل قانا وهني بخبروك,1.0,Racism
4,غرد الجحش وظن باءنه حصانا تتكلم العوني بموضوعيه فيرد كبهيم حقير جربان اصله,1.0,Verbal abuse
5,الفلسطينيين واللبنانين والشاميين لكان انتو لليوم تشربوا بول البعير تاكلون بصحن وتبزقون منو,1.0,Racism
6,رايه يوسف علاونه ربي اغفر واعرف انك تغفر اقترح ان نعرض امك طبيب بيطري لنشوف اي جحش ابوك,1.0,Verbal abuse
7,والله وصاير شعراوي واوي بعرفك حمار بتحكي كلمتين حافظن لتسب العالم,1.0,Verbal abuse
8,مشكلتك بوق بانك سلبي بسليقتك وتحب ان تهاجم الاخرين تظهر جهه وتنفذ يطلبه منك مشغليكالمهم,1.0,not offensive
9,كول هوا,1.0,Verbal abuse
10,هيدي مش وزيره هيدي شيطان الحكومه عاملي ال عمليه تجميل وبعدا بشعه محلا المسخ,1.0,Misogyny
11,انت كلب دامك رخيص ماهي مشكله نعطيك لقمه العيش اوصيك ياالرخيص قطر سبها لانك منت فالح السب,1.0,Verbal abuse
12,كول هوا بترتاح,1.0,Verbal abuse
13,نبيه بري كذاب لعوب ماسوني عم يلعب فينا ان سلمناه فكرتها انسان شريف بلنهايه طلع ماسوني عميل,1.0,Verbal abuse
14,ههههههه داعشي طنط كول هوا ولاك حريمه,1.0,religion_off
15,سماحتو شيخ العقل ياحماررر,1.0,Verbal abuse
16,فياض تترك حقدك جبران باسيل يضيع موضوعيتك,1.0,Verbal abuse
17,زال الخرا ينهمر ابو فلتر استحت المراحيض العامه والمجارير,1.0,Verbal abuse
18,الخبثاء والخنازير حلو يحل بارضهم الخراب,1.0,Verbal abuse
19,شاغل الفاسدين والعاهرين ملك جبران باسيل العدرا تحميك,1.0,Verbal abuse
20,الله يسامح الربط الحمار وفلتك,1.0,Verbal abuse
21,سكربينه عنصريه حقها فرنك فوتي حسابها شوفي خدي حب حموضه مراجعه تدخلي,1.0,Racism
22,الحرمه بتضل حرمه,1.0,Misogyny
23,الله يلعن شرفك سعدان الجاهليه صرمايه عتيقه العقاب لوهاب وهاب قاتل ابو دياب,1.0,Verbal abuse
24,اودع مليار عشان حزب الشيطان بلبنان يمر بمرحله صعبه توقف الدعم الايران اثر الحصار عليها,1.0,not offensive
25,شو توقيت مناسب القصه كلها هبل نسوان رجال قرود عايشين سوا شو تعمل قريه للنسوان لحالهن,1.0,Misogyny
26,هلق انت مين داس دنبك,1.0,Verbal abuse
27,رد السعوديين كندا بيخري انتي حماره بتستحمري,1.0,Verbal abuse
28,انت جبران باسيل بعقليتك الفجه النتنه تقولربماوربما تفيد الشكك والتردد,1.0,Verbal abuse
29,كول هوا عقبالك تجيك صرمايي بخلقتك,1.0,Verbal abuse
30,انفخ افاك حمار ابن الحمار,1.0,Verbal abuse
31,طالع حزب الله وكلابكون سوريا وبكرا منرجع,1.0,not offensive
32,مشحره شو منوب انتي بتضهري لبرا ولك فوتي البرندا احسن يراشقوكي تعون السترات الصفر بالبيض,1.0,Misogyny
33,اخ الحمدالله خسروا الكلاب فيني موت بسلام,1.0,Verbal abuse
34,اسود منك كلامك وقلبك وشكلك شفت تحكي القتل صاحب الوجه البشع وبشارك قتل الملايين الشعب,1.0,Racism
35,وين مصريات المستشفي طبل فينا نعرف حنجيبك,1.0,not offensive
36,تيار الفتنه والكذب والتحريض تيار المستهبل,1.0,not offensive
37,عرفتك انت الجرثومهيلي نكب عليها ديتول يقضي عليها تضحك بلا سنان,1.0,Verbal abuse
38,يلعن الشعب شو اهبل,1.0,Verbal abuse
39,سكووت ولاك كلب خميني,1.0,Verbal abuse
40,لعمي بقلبك شو بتنبح,1.0,Verbal abuse
41,يخربيتك ابيخك لتكون مفكر حالك بتفيد الطايفه بتقسموها اذا كنتوا انت والشحاد زلم بتدعوا لانتخا,1.0,Verbal abuse
42,عوي عوي,1.0,Verbal abuse
43,لانه كلاب عالم متل طارق خوري وغيره,1.0,Verbal abuse
44,العرب يتقنون التخريب العرب جرب,1.0,Racism
45,الله رفيقه طلعلي حب شباب حبالي الصوتيه انا عم قلهم فالج شعب تنح ينخبز ينعجن,1.0,Verbal abuse
46,جبران باسيل وعمه جنرال اسراءيل سابقا العماد ميشال عون يمثلون سياسه الزباله قدمها سيدهم نصراللات طبقا الخياسه,1.0,Verbal abuse
47,بعرف بدي خبركن ياها انو واطي طلع عرص,1.0,Verbal abuse
48,شو بتلبقلك كلمه خنزير بتجي مفصله قياسك وشكلك,1.0,Verbal abuse
49,جوليت چوليت بني ادم براس بهيمه,1.0,Misogyny
50,زلمه كميه القرف باخبار جبهه الخرا وفتح الشوءسمو بيقرفوا حسو حالهم اديش حمير ومتخلفين القرون الوسطي وانو خربو عحالهم وعغيرهم,1.0,Racism
51,وليه روح عملك شي شغلي تفيدك احسن تجن بتحليلك لحديث السيد كبير هبيله,1.0,Verbal abuse
52,كلب انت كلب مجوسي تحكي الانسانيه,1.0,Verbal abuse
53,العاهره متلك بتدعي العفه والحرامي بيحلف بالبراءه,1.0,Misogyny
54,مش اخوان لزج زيهم,1.0,not offensive
55,ولك سقفك زغرتا فهام بقا بتدعس برا زغرتا ببزقوا العالم بتسمع كلمه خاين,1.0,Verbal abuse
56,خراس تشوش,1.0,not offensive
57,الزعامه والتجربه بدن يكونوا اصحابها رجال مش صيصان خسءت جبران باسيل,1.0,Verbal abuse
58,انت كلب واطي اخلاق مجرم توام بشار الاسد كلب منحط درزي شركسي ارحل نرحلك الي جهنم وليد حزا,1.0,Verbal abuse
59,وانتي كمان خرسي,1.0,not offensive
60,بهيم الشاعر عم يحكي سوريا الارض مش نظام سفاح قاتل ونقطه السطر,1.0,Verbal abuse
61,كمان خطر عبالي سءال لحضرتك وين صارت صرمايتك قصدي المحكمه الدوليه,1.0,Verbal abuse
62,يستهبل اهبل جد,1.0,not offensive
63,قنبله ذزيه يروحو الاثنين معا افضل حل,1.0,Verbal abuse
64,العما بقلبك اتقل دمك اسقلك,1.0,Verbal abuse
65,يلعن الاسد,1.0,Verbal abuse
66,دوله بتحترم نفسها كنت انت اول بالسجن عميل قاتل مفتن خاين ماريونيت,1.0,Verbal abuse
67,يابنت لجنوب انت اول وحده اسراءيل وضد المقاومه فهمتك مفصومه ايمتي شرف والوطنيه لدبو عليكي فجاه شفت احقر منك,1.0,Racism
