,text,label
0,معتوه يحاول استثمار العنصريه اجل الفوز الشخص اجر قطعه ارض منهاتن نيورك للقذافي زيارته لتلك المدينه اجل نصب فيها خيمته واليوم هو يتنكر للعرب والمسلمين,Racism
1,كول هذا هوا خنزير الخنازير اما الصهاينه نهايتهم للدعس تفه,Racism
2,واش هي منيتكم اشوف الزمر تشطح السيده منصور معاها اشنو كاي الهدف هادشي,not racism
3,كسم السيسي علي كسم ال دعم السيسي يوم حتي دنا كنت اعدادي بشخه واقول للعيال الدروس العسكري هينيكك وينهبك زي مب بقاله 60 سنه بيعمل ايه واله بيبداها دم مستحيل تشوف خير كانوا يتنمروا عليا ويقولوا عليا اخوان ولاد الاحبه نصهم اهاليهم بتشحت دلوقت,Racism
4,السعوديه هي اطهر ارض وشعب واحقر شعب,Racism
5,كلشي عندنا كلاب وحمير الله لا يكون معانا وصافي,Racism
6,شوفو هاد شلح تفو فين باش توصل لمره الحامض,Racism
7,اسود منك كلامك وقلبك وشكلك شفت تحكي القتل صاحب هذا الوجه البشع وبشارك في قتل الملايين الشعب,Racism
8,لانهم كانوا على رءيسا دوله واحده والمثل يقول عندنا باليمن الكلب اخو الكلب والنباح,not racism
9,الدوله الاسلاميه نصرها الله نصر الي نصر عالم الواقع يكذب والمطبلين لاسرائيل والمهللين لامريكا فرحون باوهامهم هههه,not racism
10,علماء الامه علماء امريكا عبيدها الذين يحضرون لهم الفتاوي الطلب هءولاء بلاء الامه نجاستها تغسل بالماء,Racism
11,خسات نجس المملكه العربيه السعوديه الاسلاميه قويه بتوحيدها وقادهعلي ردع من تسول نفسه العبث اللعب امنها والسعوديه ايران الرخوه لتطلب مسانده احد,not racism
12,كول هواك بعد مامنشتغل كلبك بشار,not racism
13,الغرب المنافق لماذا يطالب كل هذا الغرب اسراءيل بالرد بالمثل الفلسطينيين العزل,Racism
14,خسات نجس المملكه العربيه السعوديه الاسلاميه دوله قويه بتوحيدها وقادهعليها ردع تسول نفسه اللعب امنها والسعوديه ايران الرخوه لتطلب مسانده احد,not racism
15,داك الحول مريض تفو بنادم كيفاش داير مع هاده الوجوه معمرني شفتهوم الزنقه اللهم المشرملين او هادوا,Racism
16,شفناكي علقتي القوات الصهيونيه بلشت تقول ان حزب الله حزب ارهابي واطيه العما بقلبك شو منافقه,not racism
17,يعني تقصد كالامارات دوله بلا دين اسلامي واغلبيه سكانها مقيمين لهذا الدين البوذي الوثني السيخي البقري والمسلم يعيشون,Racism
18,واءاب وهاب وجريدهه الاخبار وصرمايه عماد عثمان بتمكمين فاسدين منافقين انت ونظام وايرانك اجره عثمان,Racism
19,ابشروا بالهزاءم حكام الخليج عملاء الصهيونيه كلاب امن اسراءيل فقد حان حز رءوسكم اما ابناء الطلقاء يدافع الحمير فهو جحش يستحق الضرب دبره البهاءم,Racism
20,مساكين يا اخباري الخنزيره ماعندكم ناشطات قطر ياخذون شهادات فخريه,not racism
21,انتم تصدرون بترول العرب وامواله لليهوذ وتتكلمون باسمه وتنتقذ تركيا اما اليهوذي يدعي المقاومه يحير,Racism
22,تدخل سافر في ميزانيات شعوبناالعربيهالمحكومهمن عملاء يافواز,not racism
23,ملءنا الشلوح رجعوا زوامل مشي خصنا كرونا خصنا من شحجا زايدا,Racism
24,وانت شو تعتبري حالك وانت موالي ه لهذا الحرباء جن بلاط ههههه,Racism
25,زين ملفك تختلف عنه ليس بالصفه فقط فهو اامير وانت مرتزق وكلاكما مجرم كشهاب الدين واخيه,Racism
26,داك المضبب جامع رايو دا دا لاخور باين دوده,Racism
27,حاجي : تحريض ؟ ام نص لسان,not racism
28,عندما يسقط النظام الهاشمي تسقط معه معه دويله اسراءيل,Racism
29,مال البنت هادي كتسحاب راسها مريكانيه و كيبين رباوها واليديها,Racism
30,شكلك كنت موظفه بارات الدوحه او كنت قواده لان مستعربين الشمال وخصوصا اللبنانيين مايملكون هالمواهب,Racism
31,المقاومه الشعبيه : مهما قال الخونه العملاء يدعون مقاومه,not racism
32,500 كافر مجوسي عميل لايران قتلو ايدي المجاهدين الي جهنم وبءس المصير ياعملاء ايران الفرس بعون الله تعالي سوف يبادون يدعم الفرس المجوس,not racism
33,قناه المنار صدق تحدثت عن السيطره جرود عسال الورد تتحدثون سيطره النظام عليها فقط وهي البلده وليست الجرود,not racism
34,لماذا يتم انشاء احزاب نازيه و اخري صهيونيه بالجزاءر سيسمحون للارهابيين بانشاء احزاب,not racism
35,للاسف ياقناه الجزيره اصبحتم بعيديين الحياديه تقاريركم غير الاخباريه وتابعين لعده قنوات دول اذكرها لانكم تنشروا تعليقي,not racism
36,مسرحيه جاءوا ليقاتلو صنعو جاءوا جاءوا ليسلمو كل اسلحتهم ليهاجمو السعوديه لايران,not racism
37,داكو المضبب جامع رايو لاخور ، باين دوده,Racism
38,لازم الاطباء يعرضوك انت طبيب نفسي بيطري مختص بالامراض النفسيه,not racism
39,العرب يتقنون فن صناعة التخريب العرب جرب,Racism
40,يبايع امير على المءمنين فهو كافر و دمه مهدور,Racism
41,علماء الامه علماء امريكا عبيدها يحضرون الفتاوي عند الطلب هءولاء سبب بلاء الامه نجاستها تغسل بالماء,Racism
42,جبران باسيل كذاب منافق مثل عبد الله للدينار والدرهم,not racism
43,ام علي : نص لسان ابكي بترتاحي,not racism
44,اللهم اني صاءم خويا سعيد على وجه المتعه اللي تلقيتها منك التسعينات وانا طفل والله نقول كل شي حاجه اللي تخصر صيامي وكنثيق ذكاءك بحيث قراته جد كافي ليصلك كنت اريد قوله تحياتي,not racism
45,وقال نتنياهو ولم يذكر بالاسم دوله اسراءيل اتصال دوله عربيه بشان ايران العربان,Racism
46,حلف البهاءم وجواسيس الترك وجميع المرتزقه كلاب المال الحرام ان انبح بالدور,Racism
47,سياسه امريكا في عصور حكامها السابقين كانو ياكلون طاوله وهذا عنده مايخفيه يقولها علانيتا انه وشعبه لايحبون العرق الابيض البريطاني الاصل يحبون باقي الشعوب وترامب يءمن بشيء انه فاءده العرب سوا اموالهم وقالها صريح واعجبني قوله اللهم صلطه اهل الخليج كافه بدون استثناء الانهم بغو الارض واكثرو الفساد واستعبدو الناس فامثلا السعوديه تستعبد ابناء شعبها الشومريه تعطيهم جوزات سفر ولايحق الزواج الناس وتقصيهم حقوقهم المدنيه الكويت نصفها شواد عمان وكذالك والله الفساد الموجود بالخليج الغرب مثلهم يحبون اخوانهم العرب وخير دليل يساعدون الشعوب العربيه ويكنزون اموالهم البنوك الاجنبيه الا لعنت الظالمين الدين يسعون الارض فسادا,Racism
48,لا ال سعود وال بن زايد والوهابيه والصهاينه كلاب امريكا تستعجل قمه الرياضه واضحه وشوف منو كلب امريكا,Racism
49,الامه بحاجه لمشروع سني جامع تسال فيه القطط عن السمينه مش كده عمي الحج,not racism
50,يسعون لتشويه الحوثيين ليتم استباحتهم لبلاد السنه والحوثيون ابناء الثوره اليمنية وليس ابناءايران اليهوذيه,Racism
