text,label
ناس عندهم جيران وحنا عكوزة,Racism
المعلومات اللي عندي 😂😂😂 و الله الا سكيتس ديك البلاد,Racism
سمعتو جلالة الملك ماشي تبون😂😂😂😂😂 كنحشم نقولها😅😅,Racism
معرفت شنو كيقولو لصلاة المغرب 😂😂😂😂😂,Racism
تلقاهم كيقولو الصلاة التي تأتي بعد العصر😂,Racism
ياربي سهل على الكراي اللي حدانا يشريو داروم بعيد علينا😂الله يعمرها دار هذ الجيران منلقاوش بحالهم مرة مرة كايفوجو علينا بعدا,Racism
مساكن والله الله يشافيهم منا وعاش الملك وديما مغرب ❤️❤️❤️❤️,Racism
سیستقبلهم شبیه الملک هههه واش هادو من نیتهم,Racism
يا هاد لكحل اش كادير ف بلادنا رجع فحالك,Racism
يا هاد لعبد لكحل,Racism
شوف كي كحل كتر من دلام,Racism
عزي هادا راسك بهال تينيسا,Racism
وا لكحل وا لعزي وا كحل لعفتا,Racism
وا شلح وا زقرام,Racism
هاد رباتيين مخنتين امبنتين,Racism
كاساوا حادڭين غا ف لهاماج,Racism
جازاءيريين ياخويا باقي متخالفين,Racism
