text,label
البطل قاتل وجاذف بحياته لتحيا انت واطي عيب الشوم,Verbal abuse
انو غريب يوجعك راسك القواتجيه عاده بيكونو بلا راس,Racism
طاءفي روح اسال اهل قانا وهني بخبروك,Racism
غرد الجحش وظن باءنه حصانا تتكلم العوني بموضوعيه فيرد كبهيم حقير جربان اصله,Verbal abuse
الفلسطينيين واللبنانين والشاميين لكان انتو لليوم تشربوا بول البعير تاكلون بصحن وتبزقون منو,Racism
رايه يوسف علاونه ربي اغفر واعرف انك تغفر اقترح ان نعرض امك طبيب بيطري لنشوف اي جحش ابوك,Verbal abuse
والله وصاير شعراوي واوي بعرفك حمار بتحكي كلمتين حافظن لتسب العالم,Verbal abuse
مشكلتك بوق بانك سلبي بسليقتك وتحب ان تهاجم الاخرين تظهر جهه وتنفذ يطلبه منك مشغليكالمهم,not offensive
كول هوا,Verbal abuse
هيدي مش وزيره هيدي شيطان الحكومه عاملي ال عمليه تجميل وبعدا بشعه محلا المسخ,Misogyny
انت كلب دامك رخيص ماهي مشكله نعطيك لقمه العيش اوصيك ياالرخيص قطر سبها لانك منت فالح السب,Verbal abuse
كول هوا بترتاح,Verbal abuse
نبيه بري كذاب لعوب ماسوني عم يلعب فينا ان سلمناه فكرتها انسان شريف بلنهايه طلع ماسوني عميل,Verbal abuse
ههههههه داعشي طنط كول هوا ولاك حريمه,religion_off
سماحتو شيخ العقل ياحماررر,Verbal abuse
فياض تترك حقدك جبران باسيل يضيع موضوعيتك,Verbal abuse
زال الخرا ينهمر ابو فلتر استحت المراحيض العامه والمجارير,Verbal abuse
الخبثاء والخنازير حلو يحل بارضهم الخراب,Verbal abuse
شاغل الفاسدين والعاهرين ملك جبران باسيل العدرا تحميك,Verbal abuse
الله يسامح الربط الحمار وفلتك,Verbal abuse
سكربينه عنصريه حقها فرنك فوتي حسابها شوفي خدي حب حموضه مراجعه تدخلي,Racism
الحرمه بتضل حرمه,Misogyny
الله يلعن شرفك سعدان الجاهليه صرمايه عتيقه العقاب لوهاب وهاب قاتل ابو دياب,Verbal abuse
شو توقيت مناسب القصه كلها هبل نسوان رجال قرود عايشين سوا شو تعمل قريه للنسوان لحالهن,Misogyny
هلق انت مين داس دنبك,Verbal abuse
رد السعوديين كندا بيخري انتي حماره بتستحمري,Verbal abuse
انت جبران باسيل بعقليتك الفجه النتنه تقولربماوربما تفيد الشكك والتردد,Verbal abuse
كول هوا عقبالك تجيك صرمايي بخلقتك,Verbal abuse
انفخ افاك حمار ابن الحمار,Verbal abuse
طالع حزب الله وكلابكون سوريا وبكرا منرجع,not offensive
مشحره شو منوب انتي بتضهري لبرا ولك فوتي البرندا احسن يراشقوكي تعون السترات الصفر بالبيض,Misogyny
اخ الحمدالله خسروا الكلاب فيني موت بسلام,Verbal abuse
اسود منك كلامك وقلبك وشكلك شفت تحكي القتل صاحب الوجه البشع وبشارك قتل الملايين الشعب,Racism
وين مصريات المستشفي طبل فينا نعرف حنجيبك,not offensive
تيار الفتنه والكذب والتحريض تيار المستهبل,not offensive
عرفتك انت الجرثومهيلي نكب عليها ديتول يقضي عليها تضحك بلا سنان,Verbal abuse
يلعن الشعب شو اهبل,Verbal abuse
سكووت ولاك كلب خميني,Verbal abuse
لعمي بقلبك شو بتنبح,Verbal abuse
يخربيتك ابيخك لتكون مفكر حالك بتفيد الطايفه بتقسموها اذا كنتوا انت والشحاد زلم بتدعوا لانتخا,Verbal abuse
عوي عوي,Verbal abuse
لانه كلاب عالم متل طارق خوري وغيره,Verbal abuse
العرب يتقنون التخريب العرب جرب,Racism
الله رفيقه طلعلي حب شباب حبالي الصوتيه انا عم قلهم فالج شعب تنح ينخبز ينعجن,Verbal abuse
