text,Majority_Label,label,id
معتوه يحاول استثمار العنصريه اجل الفوز الشخص اجر قطعه ارض منهاتن نيورك للقذافي زيارته لتلك المدينه اجل نصب خيمته واليوم يتنكر للعرب والمسلمين,1.0,Racism,
كول هوا خنزير الخنازير الصهاينه نهايتهم للدعس تفه,1.0,Racism,
واش منيتكم اشوف الزمر تشطح السيده منصور معاها اشنو الهدف هادشي,1.0,not racism,13007.0
كسم السيسي علي كسم ال دعم السيسي يوم حتي دنا كنت اعدادي بشخه واقول للعيال الدروس العسكري هينيكك وينهبك زي مب بقاله 60 سنه بيعمل وال بيبداها دم مستحيل تشوف خير كانوا يتنمروا عليا ويقولوا عليا اخوان ولاد الاحبه نصهم اهاليهم بتشحت دلوقت,1.0,Racism,
السعوديه اطهر ارض واحقر شعب,1.0,Racism,
كلشي كلاب وحمير الله يكون معانا وصافي,1.0,Racism,
شوف هاد شلح تفو فين توصل لمره الحامض,1.0,Racism,
اسود منك كلامك وقلبك وشكلك شفت تحكي القتل صاحب الوجه البشع وبشارك قتل الملايين الشعب,1.0,Racism,
لانهم رءيسا دوله واحده والمثل يقول عندنا باليمن الكلب اخو الكلب والنباح,1.0,not racism,
الدوله الاسلاميه نصرها الله نصر الي نصر عالم الواقع والمطبلين والمهللين لامريكا فرحون باوهامهم هههه,1.0,not racism,
علماء الامه علماء امريكا عبيدها يحضرون الفتاوي الطلب هءولاء بلاء الامه نجاستها تغسل بالماء,1.0,Racism,
خسات نجس المملكه العربيه السعوديه الاسلاميه قويه بتوحيدها وقادهعلي ردع تسول نفسه اللعب امنها والسعوديه ايران الرخوه لتطلب مسانده احد,1.0,not racism,
مخابرات جيش فتنويه,1.0,not racism,
كول هوا مامنشتغل كلبك بشار,1.0,not racism,
يستاهلون الموت الصهاينه,1.0,Racism,
الغرب المنافق لماذا يطالب الغرب اسراءيل بالرد بالمثل الفلسطينيين العزل,1.0,Racism,
خسات نجس المملكه العربيه السعوديه الاسلاميه قويه بتوحيدها وقادهعلي ردع تسول نفسه اللعب امنها والسعوديه ايران الرخوه لتطلب مسانده احد,1.0,not racism,
داك الحول مريض تفو بنادم كيفاش داير هاد الوجوه معمرني شفتهوم الزنقه اللهم المشرملين او هادوا,1.0,Racism,
شفناكي علقتي القوات الصهيونيه بلشت تقول حزب الله ارهابي واطيه العما بقلبك شو منافقه,1.0,not racism,4070.0
