text,misogyny
    اي نحن ما منقبلها صرماية بإجرنا مبروكع راسكم,misogyny
  نوال شو قصتك كل يوم بتاكلي قتله شو صاير معك شي اليوم طمنينا عنك ,none
  انشالله بيقبر قلبك عن قريب يافهيمة عصرك,misogyny
      يسلم لسانك من مصر يا ديما نحن معك,none
    من بجيب الحشيش عبيروت ؟   بعلبك يعني انتو,none
  فعلا الثورة أنثى، برافو ديما,none
  يخرب بيتك حبيتك,none
  انك بكل تواضع سفيهة منحطة عديمة المبدأ، ويجوز فيك القول بل يجب انك وضيعة، لست إلا مأمورة غبية تحتاجين ال… :///,misogyny
  ضبي لسانك احسنلك ��,misogyny
  يا حمارة يا صهيونية يا عاهرة هؤلاء بفضلهم انت لست في خضن تكفيري الا اذا كنت تحبين النغير,misogyny
  كلنا ديما صادق ، لبنان ينتفص انتو احلى عالم,none
   إمرأه بكل رجالهن و زعمائهم كلمة الحق لما تفعل فعلها بفئه ظالميه مستعبده كلنا معك انت بتقوينا كلنا ديما صادق  ,none
  آه يا حنونة انت    ال  يوم من قطع الطرقات ما ابكتكي المهم ان تبكي متأخرة من ان لا تبكي,none
  ديما لحزب وقع طيارة لأهلك بقصد إسرائيلي,misogyny
  ابكي بترتاحي,misogyny
  السيد يا حمارة,misogyny
  انشا الله ليقبر قلبك,misogyny
    بتاخدي العقل، الله يحميكي ويعطيكي العافية,none
    بس يا بهلة,misogyny
  لو حدا غيرك يلي حاطت التغريدة كان ممكن فكر اتأكد من صحة الخبر بس إنت شهادتك مجروحة بالحقد الأعمى على حزب الله,none
  انت دائما تمثلين المرأة الحرة التي تتمتع بالنقد البناء والتي تدافعين عن قضايا هذا المجتمع فتحية لك و لكل حر مستقل في هذا البلد,none
    ما فهمانة هالمخلوقة كيف بيعتبروها صحفية,none
  يا مريضة موتي,misogyny
  قال لن يسقط العهد يا حمارة   ديما الواطية �,misogyny
  لما تكوني عمتشتغلي ب قناة فتنويه واعلام موجه ضد (بيئتك ) فئة معينه ، بدك تتحملي ردود الفعل  عفكرا كنت مفكرك احسن من هيك,none
  انشالله بيقبرك إنتي وعيلتك�,misogyny
  انا ضد تناول الأشخاص بعائلاتهم، معيب هل شعار برأي  خلونا نخلي اللغة حضارية,none
  قال لا نؤيد حاجي تحريف يا ديما الواطية,misogyny
  يلعن شرفك بصباطي يا شرشوحه,misogyny
  يا ريت اكلتي شي كف عا نيعك,misogyny
  اولا الاحترام واجب السيد حسن غصبن عن رأسك مش حسن لانك إعلامية بدون احترام,misogyny
  سلامة قلبكن,none
   يا شاطرة، الله يحمي لبنان,none
  ان شاء الله بيقبرك وبنرتاح منك اذا السيد خيفان هههه من اسرائيل  ما خفنا منا بدك نخاف منكون يا صعاليك… :///,misogyny
