text,Majority_Label,label,id
سوريه سنيه وستبقي سنيه وحسبي الله ونعم الوكيل بالعرب الخونه باعوا الشعب السوري بالرخيص فليفرح ابن زايد وكل كلب عربي دعم بشار الجحش,1.0,Racism,
ان المجرم ابن انيسه نكره شاطر اهل السنه غبي,1.0,not racism,
كلب ايراني,1.0,Racism,
قمه الذل والهوان يطلب كافر يحميه كافر,1.0,Racism,
راجل او نص روتني اليومي تقحبين,1.0,not racism,
اي اعلام تقصد اعلامك كاعلامكم او اعلام الجزيره او ال سي ان ان فعلا انتم اكثر البشر كذبا علي وجه الارض,1.0,Racism,
انت تريد احد تنظم الدوله الجزيره نسمح حشد الفرس المجوسي الشيعي ان يبقي احد منكم بلادنا الله تتكلم وكان الجزيره ملك لابوك,1.0,Racism,
الي جهنم وبءس المصير يطلق عليهم المثقفون العرب كانوا داءما مناصرين للطغاه,1.0,Racism,
لاحوله قوه الا بالله ان كنفكر نشري بقره ونستافذ تفو كمامر,1.0,not racism,
انهم واحدوصنع الاول للثاني ولكي يسقط حماه الصهاينه,1.0,Racism,
فهءلاء العملاء اتوا بحكام الاستعمار للدول العربيه وسيدهم الاستعمار ياكلون بالاخضر واليابس بشعوبنا العربيه وليسوا مسلمون واسمهم المتاسلمون اليهود,1.0,Racism,
الغه العربيه تصلح لغسل العقول بافكار شيطانيه ارهابيه,1.0,Racism,
قديش صرت كاتب سمعت شي مره البيك تطلع او رد مفتن الطايفه ابن شعبان الله يوفقك قالوا,1.0,not racism,
ام نص لسان موتي موتي,1.0,not racism,
الهم ارحمهم واكتبهم الشهداء اللهم دماءهم اجعلها حجه علي ملك السعوديه وعلي المسءلين موسم الحج يجب ان يحاكمو جميعا رداءه الاداء كالمعتاد لماذالاتعطي مهمه التنظيم للامركان او اليابانيين,1.0,not racism,
مقاوم للناس المريضه هيدا صوص سوري اخي رضا ايراني,1.0,not racism,
اتت ام نص لسان روحي انضبي,1.0,not racism,
وبالتاريخ كله ولاوجد نظام وجيش يبيذ بشعبه كنظام الاسد الصهيوني وجزء احتلال اسراءيل لفلسطين وسيقضيعليه وتتحرر سوريه هوتهديد لاسراءيل,1.0,not racism,
انت امك عامو للغريب وعلي ام درزي معك لان الدروز منك براء مفتن وغد ابن الزنا عرس انت,1.0,not racism,
انتي عم تحكي ام نص لسان روحي انطمي,1.0,not racism,
اسمع ياصحافي نيك يماك ناكت صليبي اكيد وجابتك مملوء حقد المسلمين نيك امك الامه منيوكه زمان الصليب واليهود والطواغيت وبمساعده امثالكم تفوه عليكم يازباله,1.0,Racism,
ال سعود اذل ان يكونوا اندادا للخليفه,1.0,Racism,
وبهذا تكون المجر انضمت الي دول الخليج العربي بغلق الحدود وجوه السوريات والسوريين العذبين الارض,1.0,Racism,
ليش يللي متلك يعتبروا شعب انضبي ام نص لسان انتي حكي بتعرفي تحكي وبدك تغردي كمان انضبي,1.0,not racism,
وقال نتنياهو يذكر بالاسم دوله اسراءيل اتصال دول عربيه بشان ايران مبروک لکم یا ایها العربان,1.0,Racism,
بستين جهنم شاء الله مابيضل كلب علوي ابن متعه,1.0,Racism,
كلام فارغ الزنجيه اسبوع اعتذرت لاسراءيل يطبلون قطيع الاخونجيه,1.0,Racism,
خسءت طاهر القلب اللسان الجيش الجزاءري هوي جيش وطني شعبي افراده طواءف الشعب الجزاءري المسلم هوي سليل جيش التحرير حارب فرنسا قدمي اغلي التظحيات هوي تاج راسك راءس حاقد غيور,1.0,not racism,
ههه مفهمش كيفاش الشعب شوف تيفي كيدافعو وحده نعست بلا عقد زواج بلا عرس كيهينو الزوجه الوحيده مضلومه فهاد القصه واش وليتو كتحللو الحرام تحرمو الحلال هد ليلي مجرد بنت فاسده خاءن زاني زوجتو هديك الطفله الصغيره بريءن,1.0,not racism,
