text,label
معتوه يحاول استثمار العنصريه اجل الفوز الشخص اجر قطعه ارض منهاتن نيورك للقذافي زيارته لتلك المدينه اجل نصب فيها خيمته واليوم هو يتنكر للعرب والمسلمين,Racism
كول هذا هوا خنزير الخنازير اما الصهاينه نهايتهم للدعس تفه,Racism
واش هي منيتكم اشوف الزمر تشطح السيده منصور معاها اشنو كاي الهدف هادشي,not racism
كسم السيسي علي كسم ال دعم السيسي يوم حتي دنا كنت اعدادي بشخه واقول للعيال الدروس العسكري هينيكك وينهبك زي مب بقاله 60 سنه بيعمل ايه واله بيبداها دم مستحيل تشوف خير كانوا يتنمروا عليا ويقولوا عليا اخوان ولاد الاحبه نصهم اهاليهم بتشحت دلوقت,Racism
السعوديه هي اطهر ارض وشعب واحقر شعب,Racism
كلشي عندنا كلاب وحمير الله لا يكون معانا وصافي,Racism
شوفو هاد شلح تفو فين باش توصل لمره الحامض,Racism
اسود منك كلامك وقلبك وشكلك شفت تحكي القتل صاحب هذا الوجه البشع وبشارك في قتل الملايين الشعب,Racism
لانهم كانوا على رءيسا دوله واحده والمثل يقول عندنا باليمن الكلب اخو الكلب والنباح,not racism
الدوله الاسلاميه نصرها الله نصر الي نصر عالم الواقع يكذب والمطبلين لاسرائيل والمهللين لامريكا فرحون باوهامهم هههه,not racism
علماء الامه علماء امريكا عبيدها الذين يحضرون لهم الفتاوي الطلب هءولاء بلاء الامه نجاستها تغسل بالماء,Racism
خسات نجس المملكه العربيه السعوديه الاسلاميه قويه بتوحيدها وقادهعلي ردع من تسول نفسه العبث اللعب امنها والسعوديه ايران الرخوه لتطلب مسانده احد,not racism
كول هواك بعد مامنشتغل كلبك بشار,not racism
الغرب المنافق لماذا يطالب كل هذا الغرب اسراءيل بالرد بالمثل الفلسطينيين العزل,Racism
خسات نجس المملكه العربيه السعوديه الاسلاميه دوله قويه بتوحيدها وقادهعليها ردع تسول نفسه اللعب امنها والسعوديه ايران الرخوه لتطلب مسانده احد,not racism
داك الحول مريض تفو بنادم كيفاش داير مع هاده الوجوه معمرني شفتهوم الزنقه اللهم المشرملين او هادوا,Racism
شفناكي علقتي القوات الصهيونيه بلشت تقول ان حزب الله حزب ارهابي واطيه العما بقلبك شو منافقه,not racism
يعني تقصد كالامارات دوله بلا دين اسلامي واغلبيه سكانها مقيمين لهذا الدين البوذي الوثني السيخي البقري والمسلم يعيشون,Racism
واءاب وهاب وجريدهه الاخبار وصرمايه عماد عثمان بتمكمين فاسدين منافقين انت ونظام وايرانك اجره عثمان,Racism
ابشروا بالهزاءم حكام الخليج عملاء الصهيونيه كلاب امن اسراءيل فقد حان حز رءوسكم اما ابناء الطلقاء يدافع الحمير فهو جحش يستحق الضرب دبره البهاءم,Racism
مساكين يا اخباري الخنزيره ماعندكم ناشطات قطر ياخذون شهادات فخريه,not racism
انتم تصدرون بترول العرب وامواله لليهوذ وتتكلمون باسمه وتنتقذ تركيا اما اليهوذي يدعي المقاومه يحير,Racism
تدخل سافر في ميزانيات شعوبناالعربيهالمحكومهمن عملاء يافواز,not racism
ملءنا الشلوح رجعوا زوامل مشي خصنا كرونا خصنا من شحجا زايدا,Racism
وانت شو تعتبري حالك وانت موالي ه لهذا الحرباء جن بلاط ههههه,Racism
زين ملفك تختلف عنه ليس بالصفه فقط فهو اامير وانت مرتزق وكلاكما مجرم كشهاب الدين واخيه,Racism
داك المضبب جامع رايو دا دا لاخور باين دوده,Racism
حاجي : تحريض ؟ ام نص لسان,not racism
عندما يسقط النظام الهاشمي تسقط معه معه دويله اسراءيل,Racism
مال البنت هادي كتسحاب راسها مريكانيه و كيبين رباوها واليديها,Racism
شكلك كنت موظفه بارات الدوحه او كنت قواده لان مستعربين الشمال وخصوصا اللبنانيين مايملكون هالمواهب,Racism
المقاومه الشعبيه : مهما قال الخونه العملاء يدعون مقاومه,not racism
500 كافر مجوسي عميل لايران قتلو ايدي المجاهدين الي جهنم وبءس المصير ياعملاء ايران الفرس بعون الله تعالي سوف يبادون يدعم الفرس المجوس,not racism
قناه المنار صدق تحدثت عن السيطره جرود عسال الورد تتحدثون سيطره النظام عليها فقط وهي البلده وليست الجرود,not racism
