text,Majority_Label,label,id
كلي هواءمريضه مين حضرتك توصفي خطاب السيد شو محلك الاعراب,1.0,not racism,
اكبر شعب كيتفرج فافلام البورنو المغرب هههههههه,1.0,not racism,
حسن نصرالله تاج راسك بلا اخلاق وحده واطيه وحقيره مثلك بدها تسكر تمها وتحط ايدها راسها تذك,1.0,not racism,
انتي عم تحكي ام نص لسان روحي انطمي,1.0,not racism,
كلي رقاصات الاعلام,1.0,not racism,
اسمع ياصحافي نيك يماك ناكت صليبي اكيد وجابتك مملوء حقد المسلمين نيك امك الامه منيوكه زمان الصليب واليهود والطواغيت وبمساعده امثالكم تفوه عليكم يازباله,1.0,Racism,
استغرب كلب كلاب عرب الشمال المهاجرين قمع اوطانهم يجي يحاضر علينا كالعاهره تحاضر الشرف ياعزيزي الحكام بشار الحمار,1.0,Racism,
ستري تصويتهم الاعوج ولن سيقودون الاسد الصهيونيللمحاكم الجنايات الدوليه سيدينونه ولان حاميحدود الصهاينه والثوره ستقوده للمحاكمه ورغم مجلس الامن الاستعماري,1.0,not racism,
انقبري نضبي يعمي قلبك شو كركمي تفه,1.0,not racism,
فاره حزرتي دولتنا الشريفه لازم تبلش تسحب العملاء العشاكلتك,1.0,not racism,
اطرف قرات عثرروا وثيه سريه منطقه ناءيه انها قصه كنز القرصان او مصباح علاء الدين,1.0,not racism,
السيسي وعباس كبار الصهاينه العرب وعملاء اسراءيل,1.0,Racism,
انشالله بضلوا بعسنكو اسود الدوله,1.0,Racism,
لاحول لاقوه الا بالله الله تقبله الشهداء اهل مصر عليكم بالاخوان اخواتهم فهم اساس فساد تخلف الدين بريء منهم الي يوم الدين,1.0,Racism,
كول هوا يارعي البقر,1.0,not racism,
سعنا القول اننا نحارب ضد العروبه الملعونه وفي النهايه تعودنا الاسوا وهناك ينتهي المطاف بالادعاء وحتي يتعجب حالته المزريه ضربه كبيره ماشالا ولديك المنافقين الكبار المهووسين الزاءفين معظمهم قابيل منعوا انفسهم تعليم اطفالهم باللغه العربيه الجنرالات المسءولين البلد الفيشو تعال لديك الاخلاق لتقول ou توقف صغير الخاص الدعايه العربيه زالت لغه جميله الجيد معرفه اللغات رد فعلك عنصريه اللغه العربيه مسءوله شيء وانا انجح والافضل انه بشكل ملموس عمل عنصري ضد اللغه العربيه يزال الحمقي والجنرالات والوزراء وكل الحمقي يسنون قوانين التعريب ويعفو عنهم ابناءهم ابتداء اويحيي يتجمعون السجن ويحسن الامر بمجرد انهي مهمته التعاونيه السيلاتيكيه اسمي ينا نعرفه pov con سيقول ساركوزي حسنا اوقع واصر اللغه العربيه خطر مثبت يتم التحقق ازعاجه انحاء العالم اعرف دوله عربيه واحده لغه عربيه جيد مكان كارثه لان اللغه مجرد لغه المطلق انها تنقل ثقافه قيم الخارج ثقافه العالم العربي قيمه بلا جدال ودليل يدعم مقابل القيم العالميه للتقدم والحريه والتسامح والمساواه وغيرها فقط تابع اخبار العالم قالها عربي مسلم شتاته ومشاكل التكيف الالفيه الثالثه,1.0,Racism,
السيد زيدان خولف لماذا تعود بلدك مادامت فرنسا بهذا السوء انك تاكل النعمه تسب المله انشر الراي والراي الاخر,1.0,Racism,
اش هاد النماذيج اعود بالله غضب الله هاد جوج علاش متجيهومش كرونا وتهنا الكره الارضيه منهم اوسخ بشر شفتهوم حياتي بقات فيا ديك البنيه مسكينه جبتي لهاد الدنيا شنو دنبها تكون عندها بحالك وانت واش مكيبقاوش فيك خوتك الاب ديالك يشوفوك بهاد الصوره المقرفه حرام والله حرام,1.0,not racism,
شوف جالس جنبه ويدعي انه سيحارب الاسد الصهيوني بالقضاء تنظيم امريكا وصنع لاجله,1.0,not racism,
لاهدنه انسانيه ياصهر ايران الوفي,1.0,Racism,
الله ينتقم الامريكي اللعين قدر الله ان يظرب مسءولي الامريكان بالحذاء,1.0,Racism,
هوي يحق ان يتكلم وامثالكم الخانعين احظان الغرب والصهاينه ان تخرسو,1.0,Racism,
صوره المصحف الشريف موجوده سنوات الانترنت اين المصداقيه,1.0,not racism,
صارت ام نص لسان تتنمر تاج راسها شو محلها الاعراب هالتافهه لتتناول رءيس جمهوريه,1.0,Racism,
انتم العملاء الخونه ولستم المقاومه,1.0,Racism,
سيخسر المعركه الاعراب واسواقهم وبورصاتهم يكفي صاروخ ايراني لتدمير الاقتصاد الاعرابي,1.0,not racism,
هول تاج راسك وسخه,1.0,not racism,
السيسي غباء مبارك اشد دمويه مبارك القذافي مرسي ياتي بمثل الشخص السيسي وزير دفاع مءهل,1.0,not racism,
الف مبروك والله خازوق يكن بال دول المماتعه,1.0,not racism,
فهءلاء العملاء اتوا بحكام الاستعمار للدول العربيه وسيدهم الاستعمار ياكلون بالاخضر واليابس بشعوبنا العربيه وليسوا مسلمون واسمهم المتاسلمون اليهود,1.0,Racism,
سكربينه عنصريه حقها فرنك فوتي حسابها شوفي خدي حب حموضه مراجعه تدخلي,1.0,Racism,
العما بقلبك قديش بتحب بلبهدله وءام وهاب انت حقير وكلب وشرشوح وانت قمه الزباله حقير حقير حقير,1.0,not racism,
قديش صرت كاتب سمعت شي مره البيك تطلع او رد مفتن الطايفه ابن شعبان الله يوفقك قالوا,1.0,not racism,
السيسي يقتل شعبه وتري العرب يطبلون ويدعمونه بالميارات,1.0,not racism,
عار دول المغرب العربي يشار المغرب الجزاءر تونس اشد الحكومات خيانه للمسلمين عداوه للمجاهدين مشروع الخلافه الدول تحالفا الرب الامريكي الدين اتخدو الله,1.0,Racism,
باعوا تبقي دينهم شرفهم الي ال سعود,1.0,not racism,
مش حق عليكي حق امك لجابت هيك خلفك عاطله تفه يلعن منظرك منا شرشوحه,1.0,not racism,
