,text,label
0,كلي هواءمريضه على مين حضرتك عم توصفي خطاب السيد شو محلك الاعراب,not racism
1,اكبر شعب كيتفرج فافلام البورنو عندنا في المغرب هههههههه,not racism
2,حسن نصرالله تاج على راسك بلا اخلاق وحده واطيه وحقيره مثلك ما بدها تسكر تمها وتحط ايدها راسها تذك,not racism
3,انتي اللي عم تحكي لسان ام نص لسان روحي انطمي,not racism
4,اسمع ياصحافي نيك يماك ناكت صليبي اكيد وجابتك مملوء حقد المسلمين نيك يا امك الامه منيوكه زمان الصليب واليهوده والطواغيت وبمساعده امثالكم تفوه عليكم يازباله,Racism
5,استغرب من كلب كلاب عرب الشمال المهاجرين قمع اوطانهم يجي واحد يحاضر علينا كالعاهره تحاضر الشرف ياعزيزي الحكام بشار الحمار,Racism
6,ستريب تصويتهم الاعوج ولن سيقودون الاسد الصهيونيللمحاكم الجنايات الدوليه سيدينونه ولان حاميحدود الصهاينه والثوره ستقوده ايضا للمحاكمه ورغم مجلس الامن الاستعماري,not racism
7,انقبري نضبي ، يعمي قلبك ، شو كركمي تفه,not racism
8,فاره حزرتي دولتناه الشريفه لازم تبلش و تسحب العملاء العشاكلتك,not racism
9,اطرف ما قرات عثرروا وثيه في سريه منطقه ناءيه انها قصه كنز القرصان او مصباح علاء الدين,not racism
10,السيسي وعباس من كبار الصهاينه اعداء العرب وعملاء اسراءيل,Racism
11,انشالله ما بضلوا هيك بعسنكو اسود الدوله,Racism
12,لاحول لاقوه الا بالله الله تقبله الشهداء اهل مصر السلام عليكم بالاخوان اخواتهم فهم اساس كل فساد تخلف الدين بريء منهم الي يوم الدين,Racism
13,سعنا القول اننا نحارب ضد العروبه الملعونه وفي النهايه تعودنا الاسوا وهناك ينتهي المطاف بالادعاء وحتي يتعجب حالته المزريه ضربه كبيره ماشالا ولديك المنافقين الكبار المهووسين الزاءفين معظمهم قابيل منعوا انفسهم تعليم اطفالهم باللغه العربيه الجنرالات المسءولين البلد الفيشو تعال لديك الاخلاق لتقول ou توقف صغير الخاص الدعايه العربيه زالت لغه جميله الجيد معرفه اللغات رد فعلك عنصريه اللغه العربيه مسءوله شيء وانا انجح والافضل انه بشكل ملموس عمل عنصري ضد اللغه العربيه يزال الحمقي والجنرالات والوزراء وكل الحمقي يسنون قوانين التعريب ويعفو عنهم ابناءهم ابتداء اويحيي يتجمعون السجن ويحسن الامر بمجرد انهي مهمته التعاونيه السيلاتيكيه اسمي ينا نعرفه pov con سيقول ساركوزي حسنا اوقع واصر اللغه العربيه خطر مثبت يتم التحقق ازعاجه انحاء انحاء العالم اعرف دوله عربيه واحده لغه عربيه جيد مكانها كارثه لان اللغه مجرد لغه المطلق انها تنقل ثقافه قيم الخارج ثقافه العالم العربي قيمه بلا جدال ودليل يدعم مقابل القيم العالميه للتقدم والحريه والتسامح والمساواه وغيرها فقط تابع اخبار العالم قالها عربي مسلم شتاته ومشاكل التكيف الالفيه الثالثه,Racism
14,السيد محمد زيدان خولف لماذا تعود بلدك مادامت فرنسا ليست بهذا السوء انك تاكل النعمه تسب المله انشر الراي والراي الاخر,Racism
15,اش هاد النماذيج اعود بالله غضب الله هاد جوج علاش متجيهومش كرونا وتهنا الكرهه الارضيه منهم اوسخ بشر شفتهوم حياتي بقاتو فيا ديك البنيه مسكينه جبتي لهاد الدنيا شنو دنبها تكون عندها بحالك وانت واش مكيبقاوش فيك خوتك الاب ديالك يشوفوك بهاد الصوره المقرفه حرام والله حرام,not racism
16,شوف ترامب جالس جنبه ويدعي انه سيحارب الاسد الصهيوني بالقضاء تنظيم تدعمه امريكا وصنع لاجله,not racism
17,لاهدنه انسانيه بيننا وبينه ياصهر ايران الوفي,Racism
18,الله ينتقم الامريكين اللعين قدر الله ان الله يظرب مسءولي الامريكان بالحذاء,Racism
19,هوي يحق له ان يتكلم انتم وامثالكم الخانعين احظان الغرب والصهاينه ان تخرسو,Racism
20,صوره من المصحف المصري الشريف موجوده سنوات الانترنت اين المصداقيه,not racism
21,صارت ام كلثوم نصه لسان تتنمر تاج راسها شو محلها الاعراب هالتافهه لتتناول رءيس جمهوريه,Racism
22,انتم انتم العملاء وانتم الخونه ولستم المقاومه,Racism
23,سيخسر المعركه اقتصاد الاعراب واسواقهم المالية وبورصاتهم يكفي صاروخ ايراني لتدمير الاقتصاد الاعرابي,not racism
24,السيسي غباء مبارك اشد من السيسي دمويه مبارك القذافي مرسي ياتي بمثل الشخص السيسي وزير دفاع مءهل,not racism
25,الف الف مبروك والله يكون خازوق يكن بال دول المماتعه,not racism
26,فهءلاء العملاء اتوا بحكام الاستعمار للدول العربيه وهم هم وسيدهم الاستعمار ياكلون بالاخضر واليابس بشعوبنا العربيه وليسوا مسلمون واسمهم المتاسلمون اليهود,Racism
27,سكربينه عنصريه حقها فرنك فوتي حسابها شوفي حسابها خدي حب حموضه بدون مراجعه تدخلي,Racism
28,العما بقلبك قديش بتحب بلبهدله وءام وهابه انت انسان حقير وكلب وشرشوح وانت قمه الزباله حقير حقير حقير,not racism
29,قديش صرت كاتب او سمعت شي مره البيك تطلع او رد على مفتن الطايفه ابن شعبان الله يوفقك قالوا,not racism
30,السيسي يقتل شعبه بالرصاص ، وتري العرب يطبلون ويدعمونه بالميارات,not racism
31,عار دول المغرب العربي يشار المغرب الجزاءر ليبيا تونس اشد الحكومات خيانه للمسلمين عداوه للمجاهدين مشروع الخلافه الدول تحالفاه الرب الامريكي الدين اتخدو الله,Racism
32,باعوا تبقي دينهم شرفهم كرامتهم ووطنهم الي ال سعود,not racism
33,مش حق عليكي مش من حق امك لجابت هيك خلفك عاطله تفه يلعن منظرك منا شرشوحه,not racism
34,وين دول الخليج الجربانه متخمه بالاموال تسسقبل اللاجءين بس ماهي الا الفلوس للسلاح القتل الله البصق ملوك امراء دول الخليج حرام لانه البصقه ممكن تتنجس منهم حول قوه الا بالله,Racism
35,هدا مرض عقلي نفسي لدينا ابناء واصبحنا نخاف اللهم الطف يارب هدا هدا الزمان نري العجب,not racism
36,الم يصلك خبر الاصلاحيين طالبوا ببعض الحقوق تم اغتصابهم السجون وسلطت عليهم اقسي انواع من العذاب انك تعيش كوكب اخر,not racism
37,سمعنالك صوت من وقت مليشيا القوات المسلحة الكتاءب نزلو هتفوا حزب الله صهيوني تفه,not racism
38,اكيد مش طريقك للنجاح لان تكون هيءتك اقرب لعزراءيل,not racism
39,غلطو فالسميه فالحاله المدنيه واش داروك كريم صدقتي راسك ذكر اش راجل خاصك العصا زايدا لمك الهم مسكينه انوضي تكعدي الله عاوني امك الزمان الله يهديك,Racism
40,السيسي وعباس كبار الصهاينه حكام الطغاة العرب وعملاء اسراءيل,Racism
41,مايقتلني الدول الميكروسكوبيه وينك صدام الخليج كله محافظات واليوم يتحفظون الدولارات اللي باقيه وتتمدد الفلوس تجيب راس العروس عجيب امور غريب قضيه اين المطبلون والمهلهلون,Racism
42,اما لم يكن عميل لاعتقلوه تسمي جنوب افريقيا اي استعمار الانجليزوامريكا لانهم خايف يتوجون الاسدالصهيوني والسيسي بتاج,Racism
43,سوريه سنيه وستبقي سنيه وحسبي الله ونعمة الوكيل بالعرب الخونه باعوا الشعب السوري بالرخيص فليفرح ابن زايد وكل كلب عربي في دعم بشار الجحش,Racism
44,كلب مسيحي اسمه سليمان فرنجيه تابعه لتيار مرده لبناني عم يمشطو جماعته منطقه مجليا لعرينيه,Racism
45,والله ياحنا نضحك عليكم شر ضحك شاهدتم استقبال خادم الحرمين الشريفين وامام الامه انتم عرفتم متولي امور الدوله غياب المليك محمد بن سلمان جبل طويق موتوا بغيضكم والعالم يعرف يهودتكم مايسير خلفكم منبوذين ولافضتهم في بلادهم وماعليكم الز,Racism
46,تركي العونيه جماعه من حزب المخدرات ما يعوا كلاب جربانه,Racism
47,فلسطين البقره الحلوب المحتالين المخبرين اروبا يستخذمونها مجرد وسيلة لجمع الاموال التبرعات ايران وحدها يستفيذ,Racism
48,جيش مصر وشعب مصر خير رقاصات الارض,Racism
49,اطرف قرات انهم عثرروا وثيه في سريه منطقه ناءيه انها قصه كنز القرصان او مصباح علاء الدين,not racism
50,كذاب ومنافق الريال القطري أيها القذر : وصل لحسابك,Racism
51,ليتهم يسلمون منك ياذميم يا قطر ذميم العرب. حسبي الله,not racism
52,اننا نعد الغرب بمسيره طويله تنتهي الا بتدمير اقتصاده جزاء وفاقا تعجرفهم سفاهتهم لمحاولاتهم الخبيثه انقاذ النصيري المجرم بشار انيابنا سيكونون ان ان شاء الله انيابنا,Racism
53,انت يا حمار عبد العزيز الله بتستحمر,not racism
54,نعلم جيدا ياوليد امريكا تحاربكم فما شانها بمحاربه العبيد فانتم خير كلاب لليهود تحرسونها بعيدون عنها امريكا تحارب الاحرار وكل يءمن بالله المجيد نصر عبدالجليل,Racism
55,الصهاينه هم اشرف منكم تقتلون تسمونه الجهاد سبيل الله تاريخكم الاسود مليء بالقتل النهب,Racism
56,اتركوا بلدنا نريدكم انتم ايها العرب,Racism
57,سكربينه عنصريه حقها كلم فرنك فوتي حسابهاي شوفي خدي حب حموضه مراجعه تدخلي,Racism
58,اكثر شعب متخلفين رغم انهم عندهم تتطور الصناعات بعدهم شعب متخلف جاهل ويصدق الخرافات بشكل كبير جدا وتبرك البقر وبول البقر اعزكم الله,Racism
59,وانشا حنا مسلمين كلاب اس هادا اشي راه كيعلوا في اولادنا الله يخليكم بالخلي,Racism
60,شوفوا هذا الطفل الله يرحمه دول الانذل والساقطين,not racism
61,وبيسالوني ليه قالوا لنا بكره السعوديه مجرمين,Racism
