text,label
حنا مكنتعاملوش مع العزيين,Racism
العزي,Racism
عزي,Racism
"يجب تصفية الاعراق, فترك الابيض فقط",Racism
هاد عوازا كترو ,Racism
اسود,Racism
عزي،قحطاني،,Racism
داك العزي,Racism
رجع لبلادك يا لعزوا هادي مشي بلادك,Racism
عد الى افريقيا يا عبد,Racism
انت اسود معفن كالفحم,Racism
ارجوك رحمة بنا لا ترينا وجهك يا زنجي,Racism
ههههههه هل انت من موزنبيق وتتكلم العربية,Racism
اصلا لا يحق لك ان تشاهد الانمي و انت اسود,Racism
السود ليسوا بشرا بل مجرد قرود ذكية,Racism
مدري ليه عندي عنصرية من السود ونفسي اتخلص مني قادر,Racism
ياالعبد,Racism
عبد غبي من جد,Racism
حاط صورت واحد ابيض هو عبد,Racism
مسلم و كيدير فعايل اليهود ,religion_off
الكافر لخور,religion_off
انا لن اعتنق الدين الاسلامي الارهابي,religion_off
ماتبقاوش تجبدو لينا الدين,religion_off
اله اينعل ربك,religion_off
شيطان,religion_off
يهودي، ,religion_off
تا فينو الله؟؟! - الإلحاد,religion_off
واش من نيتك كتآمن بهاد التخربيق! ,religion_off
