text,label
: أعوذ بكلمات الله التامات التي لا يجاوزهن بر ولا فاجر: من شر ما خلق، وبرأ وذرأ، ومن شر ما ينزل من السماء، ومن شر ما يعرج ف…,not racism
: عن حذيفة بن اليمان رضي الله عنه قال: كان النَّبيُّ ﷺ إذا أَراد أنْ يَنامَ قال: بِاسمِك اللَّهمَّ أَموتُ وأَحيا، وإذا…,not racism
: لمغاربة ساهل تأثر فيهوم وساهل تنسيهوم,Racism
: أمير المؤمنين vu,not racism
: شد في قلبك وابكي على حالك اخي المغربي دون ان يسمعك احد 😣,not racism
: و اللي سرق البلد .، سَرفق الأمل ، اييي تسمى بطل! يكذبوا بالنهار و مال النهاااار !! طوّووول ؟ ألو الليل ...حَوّووول…,not racism
قررت أنه بعد الحجر الصحي سأعمل على تبييض الأموال، ومن أجل ذلك سأشتري عشر دجاجات كخطوة أولى و ذلك بعد ان أكدت لي مصادر متطابقة ان الدجاج ضليع و رائد في فن التبييض. قلة_مايدار,not racism
بنادم مريض بالبوز .... ويقدر يدير اي حاجة باش إبان 😥😥,not racism
على إثر ظهور بعض النفاخات بالحساب الشخصي لعقيد دولة كتبانستان .... نتقدم ببرقية تهنئة لعقيدنا المحترم بمناسبة عيد ميلاده سائلين المولى عز و جل ان ينعم عليه بالصحة والعافية 🌹🎉 🎊 🎉 🎊 🎉 🎊 🌹,not racism
هذا ممكن نقبلوه....احسن من البطبوط 😂😂,not racism
: ما حدث لهذا الرجل الأمريكي.. يحدث كل يوم بفلسطين. الفرق هو الضغط الاعلامي... لكن عندما يتعلق الأمر بالمسلمين تخرس جمي…,not racism
في انتظار أخبار رسمية 🤷‍♂️,not racism
: لا حول و لا قوة الا بالله قمة العبث مع الاسف المغرب لم يتعلم اي شيء من ازمة كرونا و كل مارأيناه و سمعناه مجرد كلام دون…,not racism
: إلغاء الترقيات للكادحات والكادحين توقيف مباريات الشغل للشباب العاطل الي ينتظر الفرصة على احر من الجمر اموال الضرائب ال…,not racism
مبقيناش غانكولو حيدو لولادكم التيكطوك .... خاصنا نكولو حيدو لواليدكم التيكطوط ها العار 😶😶,not racism
و لم ذلك 🤔 اريد رأيك ان كنت قد قراتها 🙏,not racism
: فراسكم تويتر الأصل مكانوش فيه التصاور؟ هدشي باش نقوليكم بلي التصاور ديالكم الشخصية زوينين و كنبغيو نشوفوكم مرة مرة ولكن متع…,not racism
: وأخرِجنا من رمضان بالعفو والستر والمغفرة، بقلب سليم، وبال مرتاح، وحال يُرضيك.,not racism
للأسف 😢😢💔,not racism
: بنادم لي تيجر رجلو مع الأرض 🚮,Racism
: كيتسحر و ينعس و يفيق مع المغرب يفطر وتلقاه كاتب : مهلا رمضان لا ترحل.. وا نوض غير جلس مع رمضان شوي 😆,not racism
: تواريخ إجراء المباراة الوطنية المشتركة (cnaem) والمباراة الوطنية المشتركة (cnc) الخاصة بطلبة الأقسام التحضيرية للمدارس ال…,not racism
و بهذا يتأكد أن الأغلبية تتناول وجبتين في اليوم 🙂,not racism
صراحة هادي نسيتها 😕 كان عليا نزيدها على حساب المنحدين,Racism
: مشاو فين يدوشوووووو...,not racism
قالو_ناس_زمان بنادم لي بعزو كلام الناس مايهزو,not racism
قالو_ناس_زمان بنادم هو لي يبقا فصباغتو ماشي إتلون وقتما بغا حاجتو,not racism
نمشيو نعسو واحد شوية بينما توصل 3:00,not racism
علِّموا_أولادكم أن الدين ليس فقط صيام و صلاة و كلام منمق يلقى في المساجد و إنما الدين معاملة و حياة,not racism
علِّموا_أولادكم أنهم ليسوا بحاجة لأن يكونوا ببغاوات مقلدين غربا وشرقا فحضارة الإسلام هى من نقلت مشاعل النور لأوروبا,not racism
علِّموا_أولادكم أن يعطوا لا أن يبخلوا وأن يحسنوا لا أن يطمعوا.,not racism
علِّموا_أولادكم أن البيوت قلوب، إن لم يعمّروها بالمحبّة، سكنها الظّلم و اجتاحتها الكراهية.,not racism
يعني ان بنادم كايدوز بطريقة أو بأخرى 🙄🙄,not racism
شفت كلشي داوي على الإنتاجات ديالنا التلفزية لي كاتحمر الوجه 🙄🙄🤦‍♂️,not racism
: مشيت لواحد الحانوت شريت bimo عطيتو درهم .ومول الحانوت دارلي علامات النصر✌وحتى أنا على نيتي رديت عليه بعلامة النصر✌وقلتلي…,not racism
: كان على الدولة فعلا تسول مالين لحوانت,not racism
": ~ مني تكون ك ""طهّر"" راسك من وضوء و ريحة و ماغير ذللك ... ماتنساش لسانك حتا هو 🙂. ستمر 🌸",not racism
: انا فاش كنشوف راسي مقصر في الدين ولا ما شادش الطريق ما كنحاولش نبرر لراسي و نقول داك الشي قديم ولا نحاول نجيب شي أدلة لي ما…,not racism
شارك معانا القنوات لي بانو لييك مهمين و شكرا مسبقا 🙏🙏,not racism
: يا طالعين الجبل اغنية شعبية فلسطينية غنتها النساء لما كانوا يزوروا السجون يحطو حرف ل للتمويه حتى يوصلوا رسالة للأسرى إنو…,not racism
التصاحيب هو علاقة تتمثل في المرافقة الدائمة لشابين من الجنسين ، مع ما يصاحب ذلك من مشاعر تختلف بين صداقة أو حب جارف أو تجاوب جنسي يزيد من لهيبه اندفاع الشباب المراهق,not racism
وبهذا ماغيبقاش صندوق واحد غايوليوو صنادق و صنادق 😕😕,not racism
